"ine","Ficha","Municipio","Provincia","Comarca","Total","ODS","name","value"
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods11","ods11.indAcc",22.3
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods11","ods11.InMot1000",736.274509803922
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods11","ods11.supVerd_hab",29.16100667
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods11","ods11.pct_inun",0
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods12","ods12.select.kg_hab",327.39
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods12","ods12.fr_selectiva",58.01
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods13","ods13.Gasto_17perHab",44.99
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods13","ods13.Participa",1
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods15","ods15.tasaBosque",24.8
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods15","ods15.snuPerc",65
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods16","ods16.tasaCrimConv",NA
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods16","ods16.percVotants",52.78
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods16","ods16.deut.hab",56.1
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods17","ods17.coopIngr",0.55
"08003","08003-alella","Alella","Barcelona","Maresme",10200,"ods17","ods17.coopHab",5.5
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods01","ods01.rdfb.hab",NA
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods01","ods01.PobrSev",NA
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods01","ods01.Gasto_23perHab",55.36
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods2","ods2.propEco",5.2
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods2","ods2.propSau",39.7
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods3","ods3.MortGen",NA
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods3","ods3.EV",NA
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods4","ods4.tasaSup",43.2
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods4","ods4.Gasto_32perHab",206.14
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods5","ods5.percAtFem",86.0215053763441
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods5","ods5.indexParitat",86
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods5","ods5.percDif",0.6
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods6","ods6.consHab",115.1
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods6","ods6.total_m3",2.876
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods6","ods6.vuln",0
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods7","ods7.gas.hab.dia",NA
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods7","ods7.propFG",23.1
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods7","ods7.tasa.Ins",5.56
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods8","ods8.tasaParo",5
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods8","ods8.tasPib",NA
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods9","ods9.percInd",25
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods9","ods9.taxEmpInd",0
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods10","ods10.pobr",NA
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods10","ods10.gini",31.2
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods10","ods10.dep",44.4
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods11","ods11.indAcc",NA
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods11","ods11.InMot1000",792.592592592593
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods11","ods11.supVerd_hab",54.80961543
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods11","ods11.pct_inun",0
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods12","ods12.select.kg_hab",224.67
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods12","ods12.fr_selectiva",66.87
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods13","ods13.Gasto_17perHab",135.87
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods13","ods13.Participa",1
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods15","ods15.tasaBosque",70.1
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods15","ods15.snuPerc",98.1
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods16","ods16.tasaCrimConv",NA
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods16","ods16.percVotants",70.18
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods16","ods16.deut.hab",0
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods17","ods17.coopIngr",0.41
"08004","08004-alpens","Alpens","Barcelona","Lluçanès",270,"ods17","ods17.coopHab",3.8
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods01","ods01.rdfb.hab",24932
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods01","ods01.PobrSev",3.4
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods01","ods01.Gasto_23perHab",52.37
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods2","ods2.propEco",1
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods2","ods2.propSau",20.9
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods3","ods3.MortGen",NA
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods3","ods3.EV",NA
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods4","ods4.tasaSup",31.7
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods4","ods4.Gasto_32perHab",108.33
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods5","ods5.percAtFem",58.9026915113872
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods5","ods5.indexParitat",100
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods5","ods5.percDif",-19.7
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods6","ods6.consHab",116.5
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods6","ods6.total_m3",2.566
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods6","ods6.vuln",1
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods7","ods7.gas.hab.dia",2.84
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods7","ods7.propFG",30.6
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods7","ods7.tasa.Ins",6.44
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods8","ods8.tasaParo",4.6
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods8","ods8.tasPib",7.52821787304546
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods9","ods9.percInd",29.8
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods9","ods9.taxEmpInd",7.3
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods10","ods10.pobr",7.2
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods10","ods10.gini",31.2
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods10","ods10.dep",48.9
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods11","ods11.indAcc",19.9
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods11","ods11.InMot1000",784.716342082981
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods11","ods11.supVerd_hab",71.5394069
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods11","ods11.pct_inun",0
"08005","08005-ametlla-del-valles-l","Ametlla del Vallès, L'","Barcelona","Vallès Oriental",9448,"ods12","ods12.select.kg_hab",223.05
