Atur registrat. Per sexe. Mitjanes anuals;;;;
Municipis. 2024;;;;
Unitats: Persones.;;;;
Font: Departament d'Empresa i Treball.;;;;
Institut d'Estadística de Catalunya;;;;
https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun;;;;
Codi;Nom;Sexe. Homes;Sexe. Dones;Sexe. Total
250772;Coll de Nargó;9,8;11,1;20,8
080692;Collbató;56,7;93,3;150,0
430458;Colldejou;1,3;3,0;4,3
080706;Collsuspina;6,5;6,9;13,4
170558;Colomers;0,4;2,5;2,9
251636;Coma i la Pedra, la;0,6;3,3;3,9
251615;Conca de Dalt;2,4;8,7;11,1
430461;Conesa;3,3;0,8;4,2
430477;Constantí;224,3;273,5;497,8
080713;Copons;2,3;4,6;6,9
430483;Corbera d'Ebre;16,2;13,8;29,9
080728;Corbera de Llobregat;240,0;305,5;545,5
250788;Corbins;11,9;16,6;28,5
170577;Corçà;15,7;15,6;31,3
080734;Cornellà de Llobregat;1747,4;2267,8;4015,3
170561;Cornellà del Terri;22,3;32,8;55,0
430496;Cornudella de Montsant;14,9;15,8;30,8
430509;Creixell;91,8;107,5;199,3
170583;Crespià;3,1;3,5;6,6
179011;Cruïlles, Monells i Sant Sadurní de l'Heura;15,6;28,3;43,8
080749;Cubelles;330,8;471,2;801,9
250791;Cubells;3,7;3,9;7,6
430516;Cunit;345,5;496,9;842,4
170600;Darnius;9,1;7,3;16,3
170617;Das;0,5;0,4;0,9
439018;Deltebre;232,4;364,6;597,0
080752;Dosrius;90,8;150,5;241,3
430537;Duesaigües;4,5;4,3;8,8
170622;Escala, l';138,8;181,2;319,9
080765;Esparreguera;404,4;625,3;1029,8
170638;Espinelves;0,8;4,8;5,5
250812;Espluga Calba, l';5,5;6,3;11,8
430542;Espluga de Francolí, l';57,3;88,5;145,8
080771;Esplugues de Llobregat;693,0;968,9;1661,9
170643;Espolla;3,0;3,7;6,7
170656;Esponellà;5,6;3,3;8,9
250827;Espot;0,8;2,2;3,0
080787;Espunyola, l';5,2;2,8;7,9
082541;Esquirol, l';32,5;32,6;65,1
250886;Estamariu;0,3;1,1;1,3
080790;Estany, l';4,8;3,6;8,3
250851;Estaràs;0,0;2,0;2,0
