Ajuntaments 
Institut d'Estadística de Catalunya
https://www.idescat.cat/codis/?id=50&n=4
Codi;Nom;Codi ajuntament;Codi comarca;
250740;Ciutadilla;2507400000;38;
250753;Clariana de Cardener;2507530008;35;
250766;Cogul, el;2507660009;18;
170545;Colera;1705450006;02;
250772;Coll de Nargó;2507720002;04;
080692;Collbató;0806920002;11;
430458;Colldejou;4304580001;08;
080706;Collsuspina;0807060009;42;
170558;Colomers;1705580001;10;
251636;Coma i la Pedra, la;2516360009;35;
251615;Conca de Dalt;2516150006;25;
430461;Conesa;4304610007;16;
430477;Constantí;4304770005;36;
080713;Copons;0807130008;06;
430483;Corbera d'Ebre;4304830008;37;
080728;Corbera de Llobregat;0807280001;11;
250788;Corbins;2507880001;33;
170577;Corçà;1705770005;10;
080734;Cornellà de Llobregat;0807340003;11;
170561;Cornellà del Terri;1705610007;28;
430496;Cornudella de Montsant;4304960009;29;
430509;Creixell;4305090004;36;
170583;Crespià;1705830008;28;
179011;Cruïlles, Monells i Sant Sadurní de l'Heura;1790110007;10;
080749;Cubelles;0807490004;17;
250791;Cubells;2507910007;23;
430516;Cunit;4305160009;12;
170600;Darnius;1706000000;02;
170617;Das;1706170005;15;
439018;Deltebre;4390180001;09;
080752;Dosrius;0807520002;21;
430537;Duesaigües;4305370005;08;
170622;Escala, l';1706220002;02;
080765;Esparreguera;0807650006;11;
170638;Espinelves;1706380001;24;
250812;Espluga Calba, l';2508120002;18;
430542;Espluga de Francolí, l';4305420002;16;
080771;Esplugues de Llobregat;0807710007;11;
170643;Espolla;1706430008;02;
170656;Esponellà;1706560009;28;
250827;Espot;2508270005;26;
080787;Espunyola, l';0807870005;14;
082541;Esquirol, l';0825410007;24;
250886;Estamariu;2508860009;04;
080790;Estany, l';0807900000;42;
250851;Estaràs;2508510007;32;
250864;Esterri d'Àneu;2508640003;26;
250870;Esterri de Cardós;2508700000;26;
430555;Falset;4305550006;29;
170059;Far d'Empordà, el;1700590004;02;
250899;Farrera;2508990004;26;
430568;Fatarella, la;4305680001;37;
430574;Febró, la;4305740003;08;
081347;Figaró-Montmany;0813470005;41;
080804;Fígols;0808040003;14;
259084;Fígols i Alinyà;2590840003;04;
430580;Figuera, la;4305800000;29;
170669;Figueres;1706690004;02;
430593;Figuerola del Camp;4305930008;01;
170675;Flaçà;1706750006;20;
430607;Flix;4306070005;30;
250925;Floresta, la;2509250006;18;
080826;Fogars de la Selva;0808260009;34;
080811;Fogars de Montclús;0808110007;41;
170681;Foixà;1706810007;10;
080832;Folgueroles;0808320002;24;
250931;Fondarella;2509310007;27;
080847;Fonollosa;0808470005;07;
080850;Font-rubí;0808500000;03;
170694;Fontanals de Cerdanya;1706940003;15;
170708;Fontanilles;1707080001;10;
170715;Fontcoberta;1707150006;28;
250946;Foradada;2509460009;23;
179026;Forallac;1790260009;10;
430614;Forès;4306140003;16;
170736;Fornells de la Selva;1707360009;20;
170741;Fortià;1707410007;02;
080863;Franqueses del Vallès, les;0808630008;41;
430629;Freginals;4306290004;22;
250962;Fuliola, la;2509620002;38;
250978;Fulleda;2509780001;18;
080902;Gaià;0809020002;07;
430635;Galera, la;4306350006;22;
080879;Gallifa;0808790004;40;
430640;Gandesa;4306400000;37;
430653;Garcia;4306530008;30;
430666;Garidells, els;4306660009;01;
080885;Garriga, la;0808850006;41;
170754;Garrigàs;1707540003;02;
170767;Garrigoles;1707670005;10;
170773;Garriguella;1707730008;02;
080898;Gavà;0808980001;11;
250984;Gavet de la Conca;2509840003;25;
080919;Gelida;0809190004;03;
170789;Ger;1707890004;15;
259123;Gimenells i el Pla de la Font;2591230008;33;
430672;Ginestar;4306720002;30;
170792;Girona;1707920002;20;
080924;Gironella;0809240003;14;
080930;Gisclareny;0809300000;14;
430688;Godall;4306880001;22;
250997;Golmés;2509970005;27;
170806;Gombrèn;1708060009;31;
251001;Gósol;2510010007;14;
080945;Granada, la;0809450006;03;
251018;Granadella, la;2510180001;18;
080958;Granera;0809580001;42;
251023;Granja d'Escarp, la;2510230008;33;
080961;Granollers;0809610007;41;
251039;Granyanella;2510390004;32;
251057;Granyena de les Garrigues;2510570005;18;
251044;Granyena de Segarra;2510440003;32;
430691;Gratallops;4306910007;29;
080977;Gualba;0809770005;41;
170813;Gualta;1708130008;10;
080996;Guardiola de Berguedà;0809960009;14;
430705;Guiamets, els;4307050006;29;
170828;Guils de Cerdanya;1708280001;15;
251095;Guimerà;2510950006;38;
259031;Guingueta d'Àneu, la;2590310007;26;
251109;Guissona;2511090004;32;
251116;Guixers;2511160009;35;
081000;Gurb;0810000000;24;
430712;Horta de Sant Joan;4307120002;37;
081017;Hospitalet de Llobregat, l';0810170005;13;
081629;Hostalets de Pierola, els;0816290004;06;
170834;Hostalric;1708340003;34;
081022;Igualada;0810220002;06;
251155;Isona i Conca Dellà;2511550006;25;
170849;Isòvol;1708490004;15;
251137;Ivars d'Urgell;2511370005;27;
251121;Ivars de Noguera;2511210007;23;
251142;Ivorra;2511420002;32;
170852;Jafre;1708520002;10;
170865;Jonquera, la;1708650006;02;
081038;Jorba;0810380001;06;
259101;Josa i Tuixén;2591010007;04;
170871;Juià;1708710007;20;
251180;Juncosa;2511800000;18;
251193;Juneda;2511930008;18;
251214;Les;2512140003;39;
251229;Linyola;2512290004;27;
081043;Llacuna, la;0810430008;06;
170887;Lladó;1708870005;02;
251235;Lladorre;2512350006;26;
251240;Lladurs;2512400000;35;
081056;Llagosta, la;0810560009;41;
170890;Llagostera;1708900000;20;
170904;Llambilles;1709040003;20;
170911;Llanars;1709110007;31;
170926;Llançà;1709260009;02;
251253;Llardecans;2512530008;33;
251266;Llavorsí;2512660009;26;
